topic_id,macro_topic,macro_topic_name,source,subgroup,final_merge_group_id,micro_topic_id,display_label,topic_name_original,topic_label_refined,overall_summary,phase_1_years,phase_2_years,phase_3_years,phase_4_years,phase_1_summary,phase_2_summary,phase_3_summary,phase_4_summary,evolution_pattern,evidence_note,paper_status,selection_bucket,noncorporate_inclusion_reason,best_matched_corporate_group_id,best_dyad,topic_size,group_size,active_year_count,active_year_min,active_year_max,overall_keywords
academic_T1::academic_T1_S075,T1,Clean energy transition,academic,academic_T1,academic_T1_S075,29,Evolution of Net Zero Energy Building Concepts,75_ashrae_residential_kwh_nzeb,Evolution of Net Zero Energy Building Concepts,"The micro-topic tracks the evolution of Net Zero Energy Building (NZEB) concepts, moving from early international design competitions to detailed technical assessments of energy performance, integration challenges, and global policy application across various building types and climates.",2004-2010,2012-2017,2018-2021,2022-2025,"Early phase focused on demonstration projects, ranging from international design competitions to specific net-zero residential case studies.","Mid-period focused on theoretical critiques, contrasting system types (e.g., decentralized vs. multi-building) and framing NZEB as a necessary transition mechanism to address GHG emissions.","This phase deepened the focus on implementation barriers, advanced system integration (BEMS), and applying NZEB concepts across diverse global policy and climate contexts.","The most recent phase emphasizes rigorous techno-economic assessment, simulation tool application (e.g., EnergyPlus), and the optimization of NZEB performance across various global geographies and retrofitting scenarios.",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T1_PG04,academic__corporate,88,1,14,2004,2025,"[""ashrae"", ""residential"", ""kwh"", ""nzeb"", ""nzebs"", ""insulation"", ""heating"", ""building"", ""microclimate"", ""nzec""]"
academic_T1::academic_T1_PG04,T1,Clean energy transition,academic,academic_T1,academic_T1_PG04,5,Evolution of Participatory Stakeholder Engagement in Energy Transitions,5_participatory_energiewende_stakeholders_stakeholder,Evolution of Participatory Stakeholder Engagement in Energy Transitions,"The micro-topic tracks the evolution of participatory engagement, moving from early community readiness and local governance concerns to highly technical, systemic, and discourse-driven analyses of the Energiewende and decentralized energy systems.",2000-2004,2005-2009,2010-2018,2019-2024,"Early focus on foundational community readiness, local governance, and rural economic challenges as prerequisites for systemic change.","Shift towards applying participatory methods to specific development contexts, including water governance, infrastructure decentralization, and early systemic/foresight modeling.","Deep dive into the socio-technical systems perspective, analyzing the dynamics, regimes, and structural challenges of large-scale energy transitions (Energiewende) through a participatory lens.","Maturation into complex ecosystem analysis, focusing on the mechanisms of stakeholder collaboration, co-creation, and the integration of decentralized technologies within evolving governance frameworks.",Foundational -> Contextual Application -> Systemic Analysis -> Ecosystem Integration,"The progression shows a clear thematic drift from broad development/community capacity (early years) to highly specialized, systemic, and discourse-oriented energy transition studies (later years).",aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T1_PG04,academic__corporate,3633,17,26,2000,2025,"[""participatory"", ""energiewende"", ""stakeholders"", ""stakeholder"", ""sociotechnical"", ""participation"", ""cooperatives"", ""governance"", ""initiatives"", ""collaboration""]"
academic_T1::academic_T1_S090,T1,Clean energy transition,academic,academic_T1,academic_T1_S090,36,Fintech and Sustainable Energy Financing Mechanisms,90_smes_microfinance_fintech_liquidity,Fintech and Sustainable Energy Financing Mechanisms,"The micro-topic initially explored microfinance and early financing mechanisms, rapidly shifting focus towards renewable energy project financing, risk management, and the application of advanced financial technologies (Fintech) and ESG metrics across various investment stages.",2010-2012,2014-2018,2019-2023,2024-2025,"Early focus on foundational financing challenges, including renewable energy project financing mechanisms (like CDM) and comparative studies of microcredit models.","Mid-period concentration on specific financing gaps for SMEs, risk mitigation strategies, and the role of financial knowledge in investment decisions.","Strong emergence of internationalization themes, followed by a sustained focus on Fintech indicators, ESG integration, and sustainable development goals within finance.","Recent evolution into a meta-analytical phase, heavily involving scientometric mapping of the research landscape and analyzing investment viability through advanced financial modeling and green bonds.",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T1_PG04,academic__corporate,59,1,14,2010,2025,"[""smes"", ""microfinance"", ""fintech"", ""liquidity"", ""financing"", ""crowdfunding"", ""investment"", ""mfis"", ""investors"", ""funding""]"
academic_T1::academic_T1_S058,T1,Clean energy transition,academic,academic_T1,academic_T1_S058,23,Fusion and Advanced Reactor Trajectories,58_tokamaks_iter_tokamak_reactors,Fusion and Advanced Reactor Trajectories,"The micro-topic tracks the evolution from early energy mix considerations to a strong focus on advanced fission and fusion technologies, culminating in a sustained emphasis on ITER and tokamak development as the primary pathway for future energy security.",2001-2008,2009-2017,2018-2022,2023-2025,"Early focus on nuclear's role in energy transition, spanning long-term scenarios, international governance, and initial explorations of advanced fission concepts alongside early mentions of ITER.","A sustained period dominated by advanced fission concepts, fuel cycle optimization (actinides, thorium), and comparative assessments against fossil fuels, with intermittent mentions of ITER.","The discourse begins to pivot strongly towards fusion breeding and the role of ITER in achieving decarbonization goals, integrating advanced reactor concepts with fusion pathways.","Intense, sustained focus on the technical challenges of fusion energy, specifically tokamaks and ITER, alongside the necessary international and public partnership frameworks for realization.",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T1_PG04,academic__corporate,123,1,21,2001,2025,"[""tokamaks"", ""iter"", ""tokamak"", ""reactors"", ""nuclear"", ""thermonuclear"", ""reactor"", ""fusion"", ""actinide"", ""fission""]"
academic_T1::academic_T1_S031,T1,Clean energy transition,academic,academic_T1,academic_T1_S031,16,Geothermal Resource Assessment and Application in Subsurface Systems,31_geothermal_hydrothermal_boreholes_geostructures,Geothermal Resource Assessment and Application in Subsurface Systems,The micro-topic evolved from early pilot studies on soil remediation to a highly focused investigation of advanced geostructures and large-scale resource potential across various geographical contexts.,2006-2008,2010-2014,2015-2019,2020-2025,"Early focus on feasibility, primarily linking geothermal heating to soil remediation and assessing the viability of using local groundwater/aquifers for heating.","Shift towards technical design and regulatory frameworks, heavily focusing on Ground Source Heat Pumps (GSHP) performance, thermal modeling, and establishing design standards.","Increased focus on specific resource types and technologies, including Engineered Geothermal Systems (EGS), hydrothermal applications, and the role of geological structures in energy extraction.","Maturation into advanced system integration, focusing on thermal interactions, geotechnical aspects, and the optimization of specific subsurface structures like energywalls and BTES for large-scale urban and regional deployment.",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T1_PG04,academic__corporate,194,1,18,2006,2025,"[""geothermal"", ""hydrothermal"", ""boreholes"", ""geostructures"", ""hydrogeological"", ""groundwater"", ""heating"", ""borehole"", ""energywall"", ""geological""]"
academic_T1::academic_T1_S041,T1,Clean energy transition,academic,academic_T1,academic_T1_S041,20,Inductive/Electromagnetic WPT for EVs,41_inductance_electromagnetic_ev_evs,Inductive/Electromagnetic WPT for EVs,"The research trajectory moved from initial feasibility demonstrations for e-bikes to highly technical optimization of dynamic, sustainable, and integrated wireless charging systems for various EV applications.",2016-2017,2018-2021,2022-2023,2024-2025,"Early conceptualization and feasibility testing of inductive power transfer, initially focused on e-bikes and incorporating early safety/material science aspects.","System design maturation, focusing on high-speed road charging, infrastructure planning, and integrating advanced components like rectennas and metamaterials into WPT systems.",Intense focus on Dynamic Wireless Power Transfer (DWPT) and pushing technical boundaries through detailed system design and optimization algorithms.,"Maturity phase emphasizing the sustainable implementation, efficiency enhancement, and integration of WPT into broader transportation networks, including renewable energy sources.",,,aligned,included_noncorporate,manual_override_from_excluded_review,corporate_T1_PG04,,162,1,10,2016,2025,"[""inductance"", ""electromagnetic"", ""ev"", ""evs"", ""wireless"", ""charging"", ""coils"", ""coil"", ""mobility"", ""transmitting""]"
academic_T1::academic_T1_S034,T1,Clean energy transition,academic,academic_T1,academic_T1_S034,17,Interdisciplinary STEM Education in Energy Systems,34_ee_interdisciplinary_students_capstone,Interdisciplinary STEM Education in Energy Systems,"The micro-topic traces the evolution of integrating interdisciplinary, project-based learning into engineering education, specifically focusing on renewable energy and sustainability. The trajectory moves from early conceptual explorations to formalized curriculum development, culminating in a strong focus on measurable competencies and global sustainability goals.",2003-2007,2008-2014,2015-2019,2020-2025,"Initial phase characterized by foundational explorations into interdisciplinary concepts, contrasting theoretical physics with educational approaches, and early awareness campaigns regarding renewable energy and international sustainability efforts.","This phase saw a shift towards practical integration, moving from theoretical awareness to applying energy concepts within specific engineering domains (like turbines/infrastructure) and formalizing interdisciplinary projects within undergraduate curricula.","The focus solidified on the 'capstone' experience as the primary vehicle for integration. Themes centered on applying energy economy principles, utilizing specific project formats (like design competitions), and adapting curricula to meet national energy development needs.","The most recent phase is characterized by methodological maturity, focusing heavily on benchmarking pedagogical standards, defining specific competencies, and aligning educational outcomes directly with global frameworks like the SDGs and future energy technologies (e.g., green hydrogen).",Conceptual Foundation -> Practical Integration -> Project Formalization -> Competency Benchmarking,"The progression shows a clear maturation from broad awareness (2003-2007) to highly specialized, outcome-driven curriculum design (2020-2025).",aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T1_PG04,academic__corporate,179,1,20,2003,2025,"[""ee"", ""interdisciplinary"", ""students"", ""capstone"", ""undergraduate"", ""stem"", ""learners"", ""educational"", ""interdisciplinarity"", ""learning""]"
academic_T1::academic_T1_S008,T1,Clean energy transition,academic,academic_T1,academic_T1_S008,7,MCDM Application in Energy Assessment,8_topsis_multicriteria_ahp_emergy,MCDM Application in Energy Assessment,"The micro-topic tracks the evolution of applying combined MCDM techniques, primarily TOPSIS and AHP, to evaluate and prioritize various renewable energy sources and system designs across different geographical and technological contexts.",2004-2010,2011-2015,2016-2019,2020-2025,"Early application phase focusing on applying multi-criteria evaluation to specific energy systems, including solar PV, decentralized energy planning, and waste management integration.","Methodological development phase characterized by applying AHP and MCDM to regional planning, bioenergy, and specific national energy challenges (e.g., Turkey, rural contexts).",Refinement and integration phase where the combination of fuzzy MCDM methods (TOPSIS/AHP) becomes prominent for assessing sustainable energy technologies and addressing uncertainty in energy systems.,"Advanced application phase, showing high frequency, where the focus solidifies on using integrated MCDM (TOPSIS/AHP) for suitability assessment and portfolio selection across increasingly complex and globalized energy contexts.",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T1_PG04,academic__corporate,471,1,18,2004,2025,"[""topsis"", ""multicriteria"", ""ahp"", ""emergy"", ""mcdm"", ""prioritization"", ""criteria"", ""suitability"", ""selection"", ""ranking""]"
academic_T1::academic_T1_PG05,T1,Clean energy transition,academic,academic_T1,academic_T1_PG05,6,PV-based Microgrid Development and Optimization,6_microgrids_microgrid_pv_photovoltaic,PV-based Microgrid Development and Optimization,"The micro-topic evolved from early considerations of island energy dependency to a highly technical focus on optimizing and implementing PV-based hybrid microgrids for rural and industrial electrification, culminating in advanced system monitoring.",2005-2010,2011-2017,2018-2022,2023-2025,"Initial focus on the energy situation and sustainability challenges in island contexts, identifying the need for renewable energy adoption.","Shift towards technical design, system reliability, and optimization of hybrid systems integrating generators and renewables for decentralized power.","Deep dive into advanced microgrid architectures, specifically focusing on DC microgrids, control mechanisms, and techno-economic feasibility studies.","Maturation into advanced system implementation, emphasizing intelligent monitoring, data processing, and broad application across various geographical and industrial settings.",,,aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T1_PG04,academic__corporate,1002,3,19,2005,2025,"[""microgrids"", ""microgrid"", ""pv"", ""photovoltaic"", ""kwh"", ""turbines"", ""biomass"", ""electrification"", ""generators"", ""diesel""]"
academic_T1::academic_T1_PG07,T1,Clean energy transition,academic,academic_T1,academic_T1_PG07,13,Piezoelectric Energy Harvesting Evolution,13_piezoelectric_piezoelectricity_piezo_pzt,Piezoelectric Energy Harvesting Evolution,"The micro-topic tracks the evolution of piezoelectric energy harvesting, starting from broad MEMS/thermoelectric concepts, transitioning through ambient energy scavenging and mechanical vibration harvesting, and culminating in highly specialized applications like footstep and flexible nanogenerators.",2007-2009,2010-2014,2015-2018,2019-2025,Early exploration of piezoelectricity alongside other ambient energy sources like thermoelectric effects and power scavenging for sensor networks.,"Focus shifts to specific mechanical energy conversion mechanisms, including microwind, pavement harvesting, and the development of sensorless control systems for harvesters.",Intense focus on optimizing the physical design and efficiency of piezoelectric devices to harvest energy from mechanical vibration and movement.,"Maturation into highly specialized applications, including bio-energy harvesting for implants, advanced TENG integration, and performance tuning for specific human activities like footsteps.",,,aligned,included_noncorporate,manual_override_from_excluded_review,corporate_T1_PG04,,686,3,18,2007,2025,"[""piezoelectric"", ""piezoelectricity"", ""piezo"", ""pzt"", ""thermoelectric"", ""sensors"", ""footstep"", ""sensor"", ""gait"", ""powering""]"
academic_T1::academic_T1_S017,T1,Clean energy transition,academic,academic_T1,academic_T1_S017,11,Renewable Energy Integration in Desalination,17_desalination_desalinated_seawater_salinity,Renewable Energy Integration in Desalination,"The micro-topic tracks the evolution of desalination research, heavily focused on integrating various renewable energy sources, primarily solar (PV, thermal), with desalination processes to improve sustainability and economic viability across different geographical contexts.",2004-2008,2009-2013,2014-2018,2019-2025,"Early focus on assessing the viability of desalination powered by specific energy sources, including nuclear and early solar/PV thermal systems.","Expansion into solar-driven purification methods, including membrane technologies (nanofiltration) and broader integration of solar thermal and PV systems.","Maturation of the theme, with a strong emphasis on techno-economic feasibility, system design, and applying renewable energy integration to combat water scarcity in specific regions.","Dominance of the theme, characterized by rich case studies focusing on advanced integration of PV, wind, geothermal, and wave energy into desalination systems to achieve high levels of sustainability and cost reduction.","Steady progression from initial energy source evaluation to complex, multi-source renewable integration and techno-economic optimization.","The topic shows a clear trend from early, singular energy focus (nuclear/early solar) to a highly integrated, multi-source renewable energy landscape (PV, wind, wave, geothermal) by the later years.",aligned,included_noncorporate,direct_pair_with_corporate_above_threshold,corporate_T1_PG04,academic__corporate,288,1,20,2004,2025,"[""desalination"", ""desalinated"", ""seawater"", ""salinity"", ""saltwater"", ""osmosis"", ""evaporators"", ""evaporator"", ""freshwater"", ""evaporation""]"
