topic_id,macro_topic,source,subgroup,final_merge_group_id,component_micro_topic_id,component_topic_name,component_count,component_representation,component_order
academic_T1::academic_T1_PG01,T1,academic,academic_T1,academic_T1_PG01,85,85_microgrid_pso_regulators_stability,64,microgrid · pso · regulators · stability · optimization · fractional · swarm · controllers · stabilization · hz,22
academic_T1::academic_T1_PG01,T1,academic,academic_T1,academic_T1_PG01,88,88_hydrovoltaic_nanosheets_moisture_hygroscopic,62,hydrovoltaic · nanosheets · moisture · hygroscopic · hydrophilic · hydrophilicity · humidity · hydrogel · photothermal · evaporation,23
academic_T1::academic_T1_PG03,T1,academic,academic_T1,academic_T1_PG03,3,3_v2g_evs_phev_phevs,979,v2g · evs · phev · phevs · ev · v2v · pv · v2b · v2h · pev,1
academic_T1::academic_T1_PG03,T1,academic,academic_T1,academic_T1_PG03,13,13_electromobility_evs_ev_electrification,325,electromobility · evs · ev · electrification · automotive · powertrains · transport · vehicles · automobiles · vehicle,2
academic_T1::academic_T1_PG03,T1,academic,academic_T1,academic_T1_PG03,23,23_maritime_shipbuilding_propulsion_seaports,239,maritime · shipbuilding · propulsion · seaports · shipboard · vessels · smartport · ships · marine · lng,3
academic_T1::academic_T1_PG03,T1,academic,academic_T1,academic_T1_PG03,55,55_trams_rail_tram_railway,126,trams · rail · tram · railway · mrts · railways · electrification · substations · trains · maglev,4
academic_T1::academic_T1_PG03,T1,academic,academic_T1,academic_T1_PG03,66,66_hydrogenpowered_pemfcs_pemfc_powertrain,111,hydrogenpowered · pemfcs · pemfc · powertrain · powertrains · automotive · hydrogen · propulsion · cng · fuel,5
academic_T1::academic_T1_PG04,T1,academic,academic_T1,academic_T1_PG04,6,6_participatory_energiewende_stakeholders_stakeholder,699,participatory · energiewende · stakeholders · stakeholder · sociotechnical · participation · cooperatives · governance · initiatives · collaboration,1
academic_T1::academic_T1_PG04,T1,academic,academic_T1,academic_T1_PG04,11,11_blockchain_blockchains_decentralised_decentralized,366,blockchain · blockchains · decentralised · decentralized · ethereum · hyperledger · crypto · decentralization · cryptocurrency · prosumers,2
academic_T1::academic_T1_PG04,T1,academic,academic_T1,academic_T1_PG04,12,12_participatory_participation_decentralisation_empowerment,329,participatory · participation · decentralisation · empowerment · livelihoods · initiatives · livelihood · rural · cooperatives · grassroots,3
academic_T1::academic_T1_PG04,T1,academic,academic_T1,academic_T1_PG04,18,18_ppps_ppp_sdgs_infrastructures,273,ppps · ppp · sdgs · infrastructures · stakeholders · infrastructure · pfis · sectors · stakeholder · partnership,4
academic_T1::academic_T1_PG04,T1,academic,academic_T1,academic_T1_PG04,20,20_vpps_vpp_optimization_virtual,261,vpps · vpp · optimization · virtual · chp · p2g · distributed · scheduling · solver · algorithm,5
academic_T1::academic_T1_PG04,T1,academic,academic_T1,academic_T1_PG04,26,26_digitalization_iot_digital_sensors,219,digitalization · iot · digital · sensors · blockchain · digitization · analytics · interoperable · interoperability · implementations,6
academic_T1::academic_T1_PG04,T1,academic,academic_T1,academic_T1_PG04,29,29_datacenters_datacenter_virtualization_cloud,205,datacenters · datacenter · virtualization · cloud · vms · exascale · hpc · kubernetes · serverless · containerization,7
academic_T1::academic_T1_PG04,T1,academic,academic_T1,academic_T1_PG04,42,42_broadband_ict_telecommunications_underserved,158,broadband · ict · telecommunications · underserved · digitalization · telecommunication · connectivity · icts · disadvantaged · 5g,8
academic_T1::academic_T1_PG04,T1,academic,academic_T1,academic_T1_PG04,43,43_lte_backhaul_cellular_5g,157,lte · backhaul · cellular · 5g · 6g · telecommunication · offloading · deepenergy · telecom · telecommunications,9
academic_T1::academic_T1_PG04,T1,academic,academic_T1,academic_T1_PG04,44,44_prosumers_utilities_aggregators_consumer,152,prosumers · utilities · aggregators · consumer · utility · distributed · consumers · aggregator · dse · optimization,10
academic_T1::academic_T1_PG04,T1,academic,academic_T1,academic_T1_PG04,46,46_cyberinfrastructure_interoperability_interoperable_repositories,150,cyberinfrastructure · interoperability · interoperable · repositories · scientists · infrastructures · darpa · repository · intergrid · hpc,11
academic_T1::academic_T1_PG04,T1,academic,academic_T1,academic_T1_PG04,52,52_iot_scada_sensors_metering,135,iot · scada · sensors · metering · substations · ioe · analytics · sensing · utility · sensor,12
academic_T1::academic_T1_PG04,T1,academic,academic_T1,academic_T1_PG04,56,56_prosumers_microgrids_prosumer_decentralized,125,prosumers · microgrids · prosumer · decentralized · p2p · multiagent · aggregator · distributed · exchange · exchanges,13
academic_T1::academic_T1_PG04,T1,academic,academic_T1,academic_T1_PG04,57,57_participatory_ngos_participation_governance,124,participatory · ngos · participation · governance · sanitation · collective · potable · involvement · institutional · water,14
academic_T1::academic_T1_PG04,T1,academic,academic_T1,academic_T1_PG04,65,65_smartgrid_iec61850_iec_phasor,114,smartgrid · iec61850 · iec · phasor · substations · zigbee · reliability · utilities · substation · pmus,15
academic_T1::academic_T1_PG04,T1,academic,academic_T1,academic_T1_PG04,68,68_microgrids_microgrid_mdp_optimization,105,microgrids · microgrid · mdp · optimization · dqn · decentralized · algorithms · grid2op · scalability · simulators,16
academic_T1::academic_T1_PG04,T1,academic,academic_T1,academic_T1_PG04,89,89_villages_village_villagers_ict,61,villages · village · villagers · ict · rural · municipalities · countryside · initiatives · livelihood · digital,17
academic_T1::academic_T1_PG05,T1,academic,academic_T1,academic_T1_PG05,7,7_microgrids_microgrid_pv_photovoltaic,639,microgrids · microgrid · pv · photovoltaic · kwh · turbines · biomass · electrification · generators · diesel,1
academic_T1::academic_T1_PG05,T1,academic,academic_T1,academic_T1_PG05,24,24_microgrids_microgrid_renewables_islanding,229,microgrids · microgrid · renewables · islanding · generators · outages · reliability · islanded · electrical · outage,2
academic_T1::academic_T1_PG05,T1,academic,academic_T1,academic_T1_PG05,53,53_microgrids_microgrid_mppt_nanogrids,134,microgrids · microgrid · mppt · nanogrids · nanogrid · photovoltaics · mpc · supercapacitor · lvdc · vdcm,3
academic_T1::academic_T1_PG06,T1,academic,academic_T1,academic_T1_PG06,14,14_renewables_geoenergy_2050_ghg,315,renewables · geoenergy · 2050 · ghg · hydropower · ecosystems · fuels · economies · pollution · energies,1
academic_T1::academic_T1_PG06,T1,academic,academic_T1,academic_T1_PG06,16,16_cogeneration_trigeneration_exergy_geothermal,293,cogeneration · trigeneration · exergy · geothermal · exergetic · thermodynamic · efficiencies · exergoenvironmental · rankine · heating,2
academic_T1::academic_T1_PG06,T1,academic,academic_T1,academic_T1_PG06,48,48_heating_cogeneration_boilers_solvergy,140,heating · cogeneration · boilers · solvergy · hvac · thermal · chp · residential · boiler · retrofit,3
academic_T1::academic_T1_PG06,T1,academic,academic_T1,academic_T1_PG06,81,81_onepetro_totalenergies_ghg_co2e,72,onepetro · totalenergies · ghg · co2e · drilling · offshore · tubing · rigs · subsea · downhole,4
academic_T1::academic_T1_PG07,T1,academic,academic_T1,academic_T1_PG07,21,21_piezoelectric_piezoelectricity_piezo_pzt,255,piezoelectric · piezoelectricity · piezo · pzt · thermoelectric · sensors · footstep · sensor · gait · powering,1
academic_T1::academic_T1_PG07,T1,academic,academic_T1,academic_T1_PG07,25,25_nanogenerator_nanogenerators_triboelectric_triboelectrification,227,nanogenerator · nanogenerators · triboelectric · triboelectrification · nanodevices · piezoelectric · wearable · wearables · nano · nanomaterials,2
academic_T1::academic_T1_PG07,T1,academic,academic_T1,academic_T1_PG07,30,30_wsns_wsn_iot_sensors,204,wsns · wsn · iot · sensors · supercapacitors · wireless · sensing · sensor · supercapacitor · batteryless,3
academic_T1::academic_T1_PG08,T1,academic,academic_T1,academic_T1_PG08,28,28_china_guangdong_lowcarbon_heilongjiang,213,china · guangdong · lowcarbon · heilongjiang · agglomerations · emission · chengdu · beijing · gansu · hunan,1
academic_T1::academic_T1_PG08,T1,academic,academic_T1,academic_T1_PG08,47,47_renewables_india_175gw_adani,144,renewables · india · 175gw · adani · 2030 · karnataka · rajasthan · modi · indias · mnes,2
academic_T1::academic_T1_PG08,T1,academic,academic_T1,academic_T1_PG08,59,59_gulf_mena_kuwait_qatar,122,gulf · mena · kuwait · qatar · 2050 · uae · arabia · dhabi · jordan · saudi,3
academic_T1::academic_T1_PG09,T1,academic,academic_T1,academic_T1_PG09,35,35_agrivoltaics_agrivoltaic_agrophotovoltaic_agriphotovoltaics,179,agrivoltaics · agrivoltaic · agrophotovoltaic · agriphotovoltaics · hydroponics · hydroponic · crops · greenhouses · greenhouse · croplands,1
academic_T1::academic_T1_PG09,T1,academic,academic_T1,academic_T1_PG09,50,50_irrigation_agricultural_hydroponic_solarfertigation,139,irrigation · agricultural · hydroponic · solarfertigation · sensors · iot · farming · agriculture · crops · tractors,2
academic_T1::academic_T1_PG10,T1,academic,academic_T1,academic_T1_PG10,51,51_oceanographic_waves_ocean_wave,135,oceanographic · waves · ocean · wave · seas · oceanic · sea · seapower · oceans · marine,1
academic_T1::academic_T1_PG10,T1,academic,academic_T1,academic_T1_PG10,82,82_offshore_turbines_mooring_gowind,71,offshore · turbines · mooring · gowind · buoys · seabed · sea · onshore · buoy · ocean,2
academic_T1::academic_T1_PG11,T1,academic,academic_T1,academic_T1_PG11,61,61_geothermal_indonesia_npp_nre,120,geothermal · indonesia · npp · nre · nrem · sumatra · aceh · swot · indonesian · kalimantan,1
academic_T1::academic_T1_PG11,T1,academic,academic_T1,academic_T1_PG11,69,69_pakistan_biomass_pakistani_coal,104,pakistan · biomass · pakistani · coal · cpec · karachi · nuclear · igcep · hydel · sindh,2
academic_T1::academic_T1_S004,T1,academic,academic_T1,academic_T1_S004,4,4_bioenergy_biomass_gasification_biorefinery,955,bioenergy · biomass · gasification · biorefinery · biogas · biochar · bioeconomy · syngas · feedstocks · ghg,1
academic_T1::academic_T1_S005,T1,academic,academic_T1,academic_T1_S005,5,5_electrification_sdg_subsidies_2030,840,electrification · sdg · subsidies · 2030 · nigeria · minigrids · initiatives · rural · households · socioeconomic,1
academic_T1::academic_T1_S008,T1,academic,academic_T1,academic_T1_S008,8,8_topsis_multicriteria_ahp_emergy,471,topsis · multicriteria · ahp · emergy · mcdm · prioritization · criteria · suitability · selection · ranking,1
academic_T1::academic_T1_S009,T1,academic,academic_T1,academic_T1_S009,9,9_cointegration_econometric_oecd_autoregressive,396,cointegration · econometric · oecd · autoregressive · brics · gdp · economies · causality · regression · co2,1
academic_T1::academic_T1_S017,T1,academic,academic_T1,academic_T1_S017,17,17_desalination_desalinated_seawater_salinity,288,desalination · desalinated · seawater · salinity · saltwater · osmosis · evaporators · evaporator · freshwater · evaporation,1
academic_T1::academic_T1_S019,T1,academic,academic_T1,academic_T1_S019,19,19_ukraine_ukrainian_bioenergy_economy,261,ukraine · ukrainian · bioenergy · economy · eu · competitiveness · russia · urals · conclusions · modernization,1
academic_T1::academic_T1_S031,T1,academic,academic_T1,academic_T1_S031,31,31_geothermal_hydrothermal_boreholes_geostructures,194,geothermal · hydrothermal · boreholes · geostructures · hydrogeological · groundwater · heating · borehole · energywall · geological,1
academic_T1::academic_T1_S034,T1,academic,academic_T1,academic_T1_S034,34,34_ee_interdisciplinary_students_capstone,179,ee · interdisciplinary · students · capstone · undergraduate · stem · learners · educational · interdisciplinarity · learning,1
academic_T1::academic_T1_S038,T1,academic,academic_T1,academic_T1_S038,38,38_aerospace_aeronautical_uavs_uav,171,aerospace · aeronautical · uavs · uav · aircraft · aviation · rotorcraft · airbus · propulsion · boeing,1
academic_T1::academic_T1_S041,T1,academic,academic_T1,academic_T1_S041,41,41_inductance_electromagnetic_ev_evs,162,inductance · electromagnetic · ev · evs · wireless · charging · coils · coil · mobility · transmitting,1
academic_T1::academic_T1_S058,T1,academic,academic_T1,academic_T1_S058,58,58_tokamaks_iter_tokamak_reactors,123,tokamaks · iter · tokamak · reactors · nuclear · thermonuclear · reactor · fusion · actinide · fission,1
academic_T1::academic_T1_S063,T1,academic,academic_T1,academic_T1_S063,63,63_turbines_vawt_vawts_airfoils,118,turbines · vawt · vawts · airfoils · turbine · airfoil · aerodynamic · windmill · cfd · ansys,1
academic_T1::academic_T1_S072,T1,academic,academic_T1,academic_T1_S072,72,72_eurostat_eu_baltic_indicators,91,eurostat · eu · baltic · indicators · countries · estonia · latvia · econometric · ress · sdg7,1
academic_T1::academic_T1_S075,T1,academic,academic_T1,academic_T1_S075,75,75_ashrae_residential_kwh_nzeb,88,ashrae · residential · kwh · nzeb · nzebs · insulation · heating · building · microclimate · nzec,1
academic_T1::academic_T1_S077,T1,academic,academic_T1,academic_T1_S077,77,77_electricidad_sostenibilidad_fotovoltaicas_eletrica,79,electricidad · sostenibilidad · fotovoltaicas · eletrica · solares · sustentavel · energia · sistemas · tecnológica · desenvolvimento,1
academic_T1::academic_T1_S080,T1,academic,academic_T1,academic_T1_S080,80,80_uzbekistan_azerbaijan_kazakhstan_hydropower,75,uzbekistan · azerbaijan · kazakhstan · hydropower · kyrgyzstan · geopolitical · sectors · tajikistan · economies · climatic,1
academic_T1::academic_T1_S084,T1,academic,academic_T1,academic_T1_S084,84,84_bibliometric_scientometric_scientometrics_bibliometrix,68,bibliometric · scientometric · scientometrics · bibliometrix · decarbonised · trends · papers · scopus · interdisciplinary · scientopy,1
academic_T1::academic_T1_S090,T1,academic,academic_T1,academic_T1_S090,90,90_smes_microfinance_fintech_liquidity,59,smes · microfinance · fintech · liquidity · financing · crowdfunding · investment · mfis · investors · funding,1
corporate_T1::corporate_T1_PG01,T1,corporate,corporate_T1,corporate_T1_PG01,0,0_competitors_competition_petroleum_industry,90,competitors · competition · petroleum · industry · drilling · acquiring · contracting · leases · production · competitive,1
corporate_T1::corporate_T1_PG01,T1,corporate,corporate_T1,corporate_T1_PG01,6,6_competitors_competing_competition_hedging,28,competitors · competing · competition · hedging · pipelines · industry · efficiencies · petrochemical · gas · pipeline,2
corporate_T1::corporate_T1_PG01,T1,corporate,corporate_T1,corporate_T1_PG01,8,8_competitors_regulation_environmental_regulations,22,competitors · regulation · environmental · regulations · competitive · drilling · compete · consumers · leases · industries,3
corporate_T1::corporate_T1_PG01,T1,corporate,corporate_T1,corporate_T1_PG01,12,12_competitors_competition_oilfield_industry,18,competitors · competition · oilfield · industry · partnership · contractors · competitive · shortage · drilling · producers,4
corporate_T1::corporate_T1_PG02,T1,corporate,corporate_T1,corporate_T1_PG02,1,1_pipelines_midstream_infrastructure_unavailability,66,pipelines · midstream · infrastructure · unavailability · pipeline · production · transportation · transport · availability · supply,1
corporate_T1::corporate_T1_PG02,T1,corporate,corporate_T1,corporate_T1_PG02,5,5_pipelines_unavailability_markets_production,29,pipelines · unavailability · markets · production · supply · availability · marketability · producing · reserves · demand,2
corporate_T1::corporate_T1_PG02,T1,corporate,corporate_T1,corporate_T1_PG02,11,11_construction_midstream_infrastructure_investment,19,construction · midstream · infrastructure · investment · growth · pipeline · production · constructing · uncertainties · increases,3
corporate_T1::corporate_T1_PG03,T1,corporate,corporate_T1,corporate_T1_PG03,2,2_hcf_capability_renewable_profitability,57,hcf · capability · renewable · profitability · subsidies · capabilities · customers · marketing · manufacturing · reliability,1
corporate_T1::corporate_T1_PG03,T1,corporate,corporate_T1,corporate_T1_PG03,9,9_renewable_financing_financings_incentives,21,renewable · financing · financings · incentives · growing · growth · regulatory · leverage · development · energy,2
corporate_T1::corporate_T1_PG03,T1,corporate,corporate_T1,corporate_T1_PG03,17,17_purchasers_turbines_economically_construction,14,purchasers · turbines · economically · construction · transmission · feasible · power · access · generators · electricity,3
corporate_T1::corporate_T1_PG04,T1,corporate,corporate_T1,corporate_T1_PG04,3,3_demand_consumers_emissions_consumer,52,demand · consumers · emissions · consumer · fuels · regulation · gas · biofuels · fuel · energy,1
corporate_T1::corporate_T1_PG04,T1,corporate,corporate_T1,corporate_T1_PG04,16,16_epa_emissions_ghg_ghgs,14,epa · emissions · ghg · ghgs · emission · coal · carbon · power · ace · repeal,2
corporate_T1::corporate_T1_PG05,T1,corporate,corporate_T1,corporate_T1_PG05,7,7_industry_technological_technologies_technical,23,industry · technological · technologies · technical · leases · technology · competitive · commercially · operations · advantages,1
corporate_T1::corporate_T1_PG05,T1,corporate,corporate_T1,corporate_T1_PG05,13,13_drilling_technical_rigs_technological,17,drilling · technical · rigs · technological · technologies · shortages · operations · efficiency · unavailability · financial,2
corporate_T1::corporate_T1_PG05,T1,corporate,corporate_T1,corporate_T1_PG05,14,14_industry_technological_technologies_technical,16,industry · technological · technologies · technical · securities · technology · financial · trading · environmental · competitive,3
corporate_T1::corporate_T1_S004,T1,corporate,corporate_T1,corporate_T1_S004,4,4_mining_utilities_energy_shortages,50,mining · utilities · energy · shortages · supply · mines · electricity · fluctuations · renewable · fuel,1
corporate_T1::corporate_T1_S010,T1,corporate,corporate_T1,corporate_T1_S010,10,10_peru_hydroelectric_ecuador_markets,20,peru · hydroelectric · ecuador · markets · peruvian · hydro · risks · stability · electricity · deregulated,1
corporate_T1::corporate_T1_S015,T1,corporate,corporate_T1,corporate_T1_S015,15,15_financing_contracts_negotiation_profitability,15,financing · contracts · negotiation · profitability · risks · concerns · agreements · cooperatives · liability · investor,1
media_T1::media_T1_PG01,T1,media,media_T1,media_T1_PG01,0,0_renewables_2050_turbines_emissions,1008,renewables · 2050 · turbines · emissions · biomass · carbon · coal · fuels · environmental · 2030,1
media_T1::media_T1_PG01,T1,media,media_T1,media_T1_PG01,1,1_solaraid_electrification_hydropower_lighting,292,solaraid · electrification · hydropower · lighting · powered · providing · developing · development · malawi · lamps,2
media_T1::media_T1_PG01,T1,media,media_T1,media_T1_PG01,2,2_pv_locally_councils_hydro,285,pv · locally · councils · hydro · mayor · efficiency · schemes · roofs · council · coalition,3
media_T1::media_T1_PG01,T1,media,media_T1,media_T1_PG01,5,5_greenqloud_megawatt_turbines_powering,134,greenqloud · megawatt · turbines · powering · datacentres · greenpeace · cloud · consumption · biogas · efficiency,4
media_T1::media_T1_PG01,T1,media,media_T1,media_T1_PG01,8,8_heating_geothermal_boilers_furnaces,93,heating · geothermal · boilers · furnaces · boiler · thermal · radiators · cooling · insulation · biomass,5
media_T1::media_T1_S003,T1,media,media_T1,media_T1_S003,3,3_renewables_australians_australia_nsw,270,renewables · australians · australia · nsw · adelaide · 2030 · emissions · queensland · 2025 · australian,1
media_T1::media_T1_S006,T1,media,media_T1,media_T1_S006,6,6_storelectric_supercapacitors_battery_batteries,104,storelectric · supercapacitors · battery · batteries · elon · ev · evs · v2g · electric · tesla,1
media_T1::media_T1_S007,T1,media,media_T1,media_T1_S007,7,7_subsidising_affordability_discount_afford,100,subsidising · affordability · discount · afford · ofgem · customers · bills · wholesale · paying · customer,1
media_T1::media_T1_S009,T1,media,media_T1,media_T1_S009,9,9_metering_energyorbit_efficiency_efficient,80,metering · energyorbit · efficiency · efficient · utility · appliances · smarter · automation · smart · meters,1
academic_T2::academic_T2_PG01,T2,academic,academic_T2,academic_T2_PG01,0,0_emissions_evs_ev_transport,646,emissions · evs · ev · transport · ghg · intermodal · automotive · transportation · vehicles · emission,1
academic_T2::academic_T2_PG01,T2,academic,academic_T2,academic_T2_PG01,12,12_lca_emissions_ghg_carbon,374,lca · emissions · ghg · carbon · insulation · architectural · microclimate · residential · lifecycle · building,2
academic_T2::academic_T2_PG01,T2,academic,academic_T2,academic_T2_PG01,29,29_bim_lca_leed_revit,207,bim · lca · leed · revit · autodesk · building · lifecycle · modelling · architecture · interoperability,3
academic_T2::academic_T2_PG01,T2,academic,academic_T2,academic_T2_PG01,36,36_lca_lcas_sdgs_lcia,174,lca · lcas · sdgs · lcia · sdg · lcsa · lcema · lci · unep · indicators,4
academic_T2::academic_T2_PG01,T2,academic,academic_T2,academic_T2_PG01,37,37_lca_agri_agricultural_crops,169,lca · agri · agricultural · crops · ghg · agriculture · farming · tillage · eutrophication · cultivation,5
academic_T2::academic_T2_PG01,T2,academic,academic_T2,academic_T2_PG01,41,41_leed_igbc_building_indicators,147,leed · igbc · building · indicators · architectural · buildings · assessment · evaluation · architecture · breeam,6
academic_T2::academic_T2_PG01,T2,academic,academic_T2,academic_T2_PG01,43,43_leed_sdgs_indicators_indicator,140,leed · sdgs · indicators · indicator · cities · assessment · urban · spatial · communities · housing,7
academic_T2::academic_T2_PG01,T2,academic,academic_T2,academic_T2_PG01,63,63_lca_clinker_cement_emissions,82,lca · clinker · cement · emissions · clinkerization · concrete · carbon · aggregates · slag · calcination,8
academic_T2::academic_T2_PG01,T2,academic,academic_T2,academic_T2_PG01,68,68_lca_ghg_emissions_ipcc,78,lca · ghg · emissions · ipcc · livestock · acidification · biowaste · farming · eutrophication · silage,9
academic_T2::academic_T2_PG01,T2,academic,academic_T2,academic_T2_PG01,72,72_greenroads_road_highways_pavements,74,greenroads · road · highways · pavements · roadways · infrastructure · highway · roads · roadway · infrastructures,10
academic_T2::academic_T2_PG01,T2,academic,academic_T2,academic_T2_PG01,78,78_lca_sustainhuts_ghg_turbines,64,lca · sustainhuts · ghg · turbines · renewable · ecoinvent · hydropower · 2mw · turbine · 1kwh,11
academic_T2::academic_T2_PG01,T2,academic,academic_T2,academic_T2_PG01,82,82_agroecosystems_agroecology_agrosystem_indicators,59,agroecosystems · agroecology · agrosystem · indicators · indicator · agri · agroecological · agricultural · agro · agrifood,12
academic_T2::academic_T2_PG01,T2,academic,academic_T2,academic_T2_PG01,87,87_lca_aquaculture_mariculture_fisheries,55,lca · aquaculture · mariculture · fisheries · fishery · eutrophication · overfishing · shrimp · ecofactors · freshwater,13
academic_T2::academic_T2_PG01,T2,academic,academic_T2,academic_T2_PG01,90,90_timber_lumber_structural_emissions,53,timber · lumber · structural · emissions · particleboard · wood · structures · carbon · building · forestry,14
academic_T2::academic_T2_PG02,T2,academic,academic_T2,academic_T2_PG02,1,1_reuse_ce_stakeholders_stakeholder,623,reuse · ce · stakeholders · stakeholder · cdwm · circularity · construction · sector · implementation · building,1
academic_T2::academic_T2_PG02,T2,academic,academic_T2,academic_T2_PG02,3,3_participatory_participation_ecobricks_recycle,560,participatory · participation · ecobricks · recycle · ecobrick · compost · initiative · participants · empowerment · indonesia,2
academic_T2::academic_T2_PG02,T2,academic,academic_T2,academic_T2_PG02,16,16_wastes_sanitation_composting_disposal,308,wastes · sanitation · composting · disposal · mswm · biodegradable · municipal · dumping · municipalities · sanitary,3
academic_T2::academic_T2_PG02,T2,academic,academic_T2,academic_T2_PG02,25,25_incineration_ghg_gasification_landfills,224,incineration · ghg · gasification · landfills · landfilling · biodegradable · emissions · landfill · incinerator · wastes,4
academic_T2::academic_T2_PG02,T2,academic,academic_T2,academic_T2_PG02,49,49_microplastics_microplastic_nanoplastics_plastics,134,microplastics · microplastic · nanoplastics · plastics · bioplastic · bioplastics · plastic · biodegradable · plasticulture · biodegradation,5
academic_T2::academic_T2_PG02,T2,academic,academic_T2,academic_T2_PG02,67,67_disposal_spss_initiatives_sociodemographic,79,disposal · spss · initiatives · sociodemographic · participation · littering · households · participants · swachh · awareness,6
