macro_topic,macro_topic_name,corporate_topic_id,subgroup_corporate,final_merge_group_id_corporate,topic_label_refined_corporate,corporate_unique_document_count,external_topic_id,source_noncorporate,subgroup_noncorporate,final_merge_group_id_noncorporate,topic_label_refined_noncorporate,overall_summary_noncorporate,external_unique_document_count,best_cosine_similarity,best_pair_id,direct_pair_count
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_S009,academic,academic_T1,academic_T1_S009,Cointegration and Econometric Analysis of Energy-Economy Nexus,"The micro-topic consistently applies advanced econometric techniques, particularly cointegration and autoregressive models, to study the long-term causal relationships between economic indicators (like GDP) and energy/environmental variables across various international economic groupings, with a strong presence of OECD contexts.",381,0.6281866431236267,academic__corporate__T1__academic_8__corporate_3,1
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_PG09,academic,academic_T1,academic_T1_PG09,Agrivoltaics Technology Evolution,"The micro-topic traces the evolution of agrivoltaics from early concepts in closed ecological systems to highly technical, integrated systems focusing on land and energy optimization.",304,0.629370927810669,academic__corporate__T1__academic_18__corporate_3,1
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_S017,academic,academic_T1,academic_T1_S017,Renewable Energy Integration in Desalination,"The micro-topic tracks the evolution of desalination research, heavily focused on integrating various renewable energy sources, primarily solar (PV, thermal), with desalination processes to improve sustainability and economic viability across different geographical contexts.",274,0.6148699522018433,academic__corporate__T1__academic_11__corporate_3,1
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_S019,academic,academic_T1,academic_T1_S019,Evolution of Bioenergy and Energy Transition in Ukraine,"The micro-topic tracks the evolution of energy discussions related to Ukraine, moving from early, broad assessments of Russian energy systems to a highly focused, technical, and geopolitical analysis of Ukraine's renewable energy transition, with a strong emphasis on bioenergy and grid modernization.",237,0.6652097702026367,academic__corporate__T1__academic_12__corporate_3,3
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_PG10,academic,academic_T1,academic_T1_PG10,Oceanographic Waves and Marine Energy Technology,"The micro-topic tracks the evolution of research interest in harnessing ocean waves and marine environments for energy generation, transitioning from broad strategic views to highly technical engineering and deployment challenges, with a strong late-stage convergence toward offshore wind infrastructure.",197,0.5860409736633301,academic__corporate__T1__academic_21__corporate_3,0
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_S031,academic,academic_T1,academic_T1_S031,Geothermal Resource Assessment and Application in Subsurface Systems,The micro-topic evolved from early pilot studies on soil remediation to a highly focused investigation of advanced geostructures and large-scale resource potential across various geographical contexts.,178,0.633722186088562,academic__corporate__T1__academic_16__corporate_3,1
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_S034,academic,academic_T1,academic_T1_S034,Interdisciplinary STEM Education in Energy Systems,"The micro-topic traces the evolution of integrating interdisciplinary, project-based learning into engineering education, specifically focusing on renewable energy and sustainability. The trajectory moves from early conceptual explorations to formalized curriculum development, culminating in a strong focus on measurable competencies and global sustainability goals.",170,0.6005434989929199,academic__corporate__T1__academic_17__corporate_3,1
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_S038,academic,academic_T1,academic_T1_S038,Sustainable Propulsion Transition in Aerospace and UAVs,"The micro-topic tracks the evolution of sustainable propulsion technologies, moving from early fuel cell feasibility studies to a mature focus on hybrid/electric integration, decarbonization strategies, and infrastructure challenges across both large aircraft and UAVs.",166,0.6536351442337036,academic__corporate__T1__academic_19__corporate_3,1
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_S041,academic,academic_T1,academic_T1_S041,Inductive/Electromagnetic WPT for EVs,"The research trajectory moved from initial feasibility demonstrations for e-bikes to highly technical optimization of dynamic, sustainable, and integrated wireless charging systems for various EV applications.",160,0.5747017860412598,academic__corporate__T1__academic_20__corporate_3,0
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_S058,academic,academic_T1,academic_T1_S058,Fusion and Advanced Reactor Trajectories,"The micro-topic tracks the evolution from early energy mix considerations to a strong focus on advanced fission and fusion technologies, culminating in a sustained emphasis on ITER and tokamak development as the primary pathway for future energy security.",119,0.6656761765480042,academic__corporate__T1__academic_23__corporate_3,1
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_S063,academic,academic_T1,academic_T1_S063,Turbine Aerodynamics and Design Evolution (HAWT/VAWT),"The micro-topic tracks the evolution of turbine design, heavily focusing on aerodynamic optimization, transitioning from general CFD application to specific focus on VAWTs, and culminating in integrated urban deployment strategies.",116,0.5060432553291321,academic__corporate__T1__academic_25__corporate_3,0
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_S072,academic,academic_T1,academic_T1_S072,EU Energy Transition Monitoring and Policy Implementation,"The micro-topic tracks the evolution of EU energy policy implementation, focusing heavily on renewable energy adoption, economic competitiveness, and indicator tracking across various member states, with a notable, though sometimes tangential, focus on Eastern/Baltic countries.",87,0.6632369756698608,academic__corporate__T1__academic_27__corporate_3,1
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_S075,academic,academic_T1,academic_T1_S075,Evolution of Net Zero Energy Building Concepts,"The micro-topic tracks the evolution of Net Zero Energy Building (NZEB) concepts, moving from early international design competitions to detailed technical assessments of energy performance, integration challenges, and global policy application across various building types and climates.",87,0.6402574777603149,academic__corporate__T1__academic_29__corporate_3,1
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_S080,academic,academic_T1,academic_T1_S080,Central Asian Energy Transition and Water Security,"The micro-topic tracks the evolution of energy discussions in Central Asia, shifting from early focuses on transboundary water and hydropower conflicts to broader themes of renewable energy adoption, ecosystem sustainability, and geopolitical energy security across the region.",74,0.6114152669906616,academic__corporate__T1__academic_31__corporate_3,2
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_S077,academic,academic_T1,academic_T1_S077,Solar PV Integration and Sustainability in Brazil,"The micro-topic tracks the evolution of solar photovoltaic (PV) technology discourse, moving from initial conceptualization of sustainable energy solutions to detailed technical evaluations, implementation case studies across various Brazilian contexts, and ongoing analysis of economic and regulatory frameworks.",74,0.6301661729812622,academic__corporate__T1__academic_30__corporate_3,1
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_S084,academic,academic_T1,academic_T1_S084,Bibliometric Analysis of Energy and Sustainability Trends,"This micro-topic consistently tracks the application of bibliometric and scientometric methodologies to map the evolution, structure, and trends within the literature concerning energy systems, sustainability, and renewable energy technologies across various international databases.",65,0.6490329504013062,academic__corporate__T1__academic_33__corporate_3,1
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,academic_T1::academic_T1_S090,academic,academic_T1,academic_T1_S090,Fintech and Sustainable Energy Financing Mechanisms,"The micro-topic initially explored microfinance and early financing mechanisms, rapidly shifting focus towards renewable energy project financing, risk management, and the application of advanced financial technologies (Fintech) and ESG metrics across various investment stages.",56,0.6699291467666626,academic__corporate__T1__academic_36__corporate_3,2
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,media_T1::media_T1_PG01,media,media_T1,media_T1_PG01,Renewable Energy Transition Challenges and Policy Debates,"The micro-topic tracks the evolution of renewable energy discourse from early policy investment in nascent technologies to complex debates on deployment hurdles, technology mix, and decarbonization targets across decades.",1093,0.711722195148468,media__corporate__T1__media_0__corporate_3,3
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,media_T1::media_T1_S003,media,media_T1,media_T1_S003,Australian Renewable Energy Policy and Infrastructure Evolution,"The micro-topic tracks the evolution of renewable energy discussions in Australia, moving from early infrastructure proposals to intense debates on targets, investment, and grid capacity across various states.",162,0.6331243515014648,media__corporate__T1__media_1__corporate_3,1
T1,Clean energy transition,corporate_T1::corporate_T1_S004,corporate_T1,corporate_T1_S004,Energy Supply Chain Vulnerabilities in Mining,47,media_T1::media_T1_S007,media,media_T1,media_T1_S007,"Subsidies, Affordability, and Regulatory Scrutiny of Energy Costs","The micro-topic tracks the evolution of concerns around energy affordability, moving from early regulatory critiques to intense focus on direct financial relief, subsidies, and market structure failures.",78,0.6559979915618896,media__corporate__T1__media_4__corporate_4,3
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,media_T1::media_T1_S006,media,media_T1,media_T1_S006,Advanced Energy Storage Systems Evolution,"The micro-topic tracks the evolution of energy storage concepts, moving from early material science concerns to integrated grid solutions, with a strong focus on electric vehicles and bidirectional energy flow.",64,0.64528489112854,media__corporate__T1__media_3__corporate_3,1
T1,Clean energy transition,corporate_T1::corporate_T1_PG04,corporate_T1,corporate_T1_PG04,Evolution of Demand Drivers in Energy Transition,63,media_T1::media_T1_S009,media,media_T1,media_T1_S009,Evolution of Smart Energy Monitoring and Grid Integration,"The micro-topic tracks the evolution from basic consumer energy monitoring to complex, decentralized, and automated grid integration, heavily influenced by technology providers like EnergyOrbit, spanning personal engagement to massive infrastructure challenges.",57,0.6359596848487854,media__corporate__T1__media_5__corporate_3,1
T2,Operational sustainability and circular production,corporate_T2::corporate_T2_S007,corporate_T2,corporate_T2_S007,Commercialization Pathway of Processed Coal and Feedstocks,22,academic_T2::academic_T2_PG01,academic,academic_T2,academic_T2_PG01,Transport Emissions and Sustainable Mobility Assessment,"The micro-topic evolved from early, localized assessments of road traffic pollution to broad, systemic evaluations of sustainability across various domains. It gradually narrowed its focus, with increasing intensity, towards quantifying emissions within the context of transport and mobility, culminating in a specific focus on electric vehicle viability and comparative lifecycle assessments.",2252,0.5673364400863647,academic__corporate__T2__academic_0__corporate_3,0
T2,Operational sustainability and circular production,corporate_T2::corporate_T2_S004,corporate_T2,corporate_T2_S004,Regulatory evolution of fracking wastewater management,40,academic_T2::academic_T2_PG04,academic,academic_T2,academic_T2_PG04,Biosorption and Adsorption of Pollutants in Wastewater,The micro-topic evolved from early interests in general wastewater reuse and wetland systems to a highly focused investigation on the application of biosorbents and adsorbents derived from various biomass wastes for the removal of heavy metals and organic pollutants from effluents.,1041,0.6160626411437988,academic__corporate__T2__academic_4__corporate_2,1
T2,Operational sustainability and circular production,corporate_T2::corporate_T2_S007,corporate_T2,corporate_T2_S007,Commercialization Pathway of Processed Coal and Feedstocks,22,academic_T2::academic_T2_S010,academic,academic_T2,academic_T2_S010,LCA Application in Biorefinery Sustainability Assessment,"The micro-topic tracks the evolution of using Life Cycle Assessment (LCA) to evaluate the environmental performance of biorefineries and bioenergy systems derived from biomass, showing a clear progression from initial environmental trade-off evaluations to complex, integrated techno-economic and sustainability assessments.",379,0.6109015345573425,academic__corporate__T2__academic_7__corporate_3,2
T2,Operational sustainability and circular production,corporate_T2::corporate_T2_S007,corporate_T2,corporate_T2_S007,Commercialization Pathway of Processed Coal and Feedstocks,22,academic_T2::academic_T2_PG08,academic,academic_T2,academic_T2_PG08,Sustainable Manufacturing Processes in Metalworking,"The micro-topic tracks the evolution of sustainable practices within metalworking, shifting from early focuses on lubrication and coatings to a dominant theme of Life Cycle Assessment (LCA) comparing additive manufacturing against subtractive machining methods, while also incorporating material waste utilization.",343,0.6616271734237671,academic__corporate__T2__academic_11__corporate_3,2
T2,Operational sustainability and circular production,corporate_T2::corporate_T2_S000,corporate_T2,corporate_T2_S000,Substance Liability and Regulatory Compliance,96,academic_T2::academic_T2_S021,academic,academic_T2,academic_T2_S021,Chemical Safety and Risk Management Evolution,"The micro-topic tracks the evolution of chemical safety discourse from early concerns over industrial toxins and international policy (2000s) toward highly technical, proactive risk management, chemical substitution, and complex regulatory frameworks within the EU context (2010s-2020s).",245,0.6415027379989624,academic__corporate__T2__academic_12__corporate_0,2
T2,Operational sustainability and circular production,corporate_T2::corporate_T2_S004,corporate_T2,corporate_T2_S004,Regulatory evolution of fracking wastewater management,40,academic_T2::academic_T2_S024,academic,academic_T2,academic_T2_S024,Petroleum Production Water Management and Treatment,"The micro-topic evolved from early concerns with waste disposal and chemical synthesis to a highly focused, advanced discussion on the sustainable management, treatment, and reuse of produced water across various stages of oil and gas extraction, particularly in shale and offshore environments.",211,0.7160549163818359,academic__corporate__T2__academic_14__corporate_2,4
T2,Operational sustainability and circular production,corporate_T2::corporate_T2_S007,corporate_T2,corporate_T2_S007,Commercialization Pathway of Processed Coal and Feedstocks,22,academic_T2::academic_T2_S076,academic,academic_T2,academic_T2_S076,Cellulose Nanomaterials in Paper and Composites,"The research trajectory moved from early process improvements in paper recycling to a deep focus on synthesizing and applying various forms of cellulose nanomaterials (CNCs, CNFs) to enhance the properties of paper and create advanced, sustainable composites.",67,0.615032434463501,academic__corporate__T2__academic_27__corporate_3,1
T2,Operational sustainability and circular production,corporate_T2::corporate_T2_S004,corporate_T2,corporate_T2_S004,Regulatory evolution of fracking wastewater management,40,academic_T2::academic_T2_S088,academic,academic_T2,academic_T2_S088,Evolution of Sustainability Assessment Frameworks for Water Infrastructure,"The micro-topic evolved from early focus on basin-scale capacity and pollution abatement to a highly methodological focus on developing and applying multi-criteria decision analysis (MCDA) and sustainability indicators across various infrastructure types, culminating in frameworks aligned with global goals.",54,0.6376156806945801,academic__corporate__T2__academic_29__corporate_2,1
T3,"Sustainable products, services and consumption",corporate_T3::corporate_T3_S010,corporate_T3,corporate_T3_S010,Biochar/Biofraction Production via Pyrolysis,6,academic_T3::academic_T3_PG04,academic,academic_T3,academic_T3_PG04,Bioplastic and Biopolymer Development and Application,"The micro-topic evolved from early, highly tangential explorations into water quality and degradation mechanisms (2000-2002), through periods of thematic drift into biofuels and water scarcity (2003-2007), before stabilizing around the core theme of bioplastics and biopolymers. The later phases show a clear progression from general material synthesis and property testing (2014-2018) to highly specialized applications, such as advanced composites, functional food packaging, and specific chemical synthesis routes (2019-2025).",6939,0.6839830875396729,academic__corporate__T3__academic_5__corporate_7,2
T3,"Sustainable products, services and consumption",corporate_T3::corporate_T3_S000,corporate_T3,corporate_T3_S000,ESG and Stakeholder Pressure on Emissions and Consumption,41,academic_T3::academic_T3_PG08,academic,academic_T3,academic_T3_PG08,Evolution of Circularity and Stakeholder Engagement in Food/Economic Systems,"The micro-topic evolved from early conceptualizations of sustainable food systems and community involvement to a mature focus on the implementation, critique, and integration of the Circular Economy (CE) across economic and ecological systems, with a persistent thread of stakeholder involvement.",4917,0.7043666243553162,academic__corporate__T3__academic_10__corporate_0,3
T3,"Sustainable products, services and consumption",corporate_T3::corporate_T3_S000,corporate_T3,corporate_T3_S000,ESG and Stakeholder Pressure on Emissions and Consumption,41,academic_T3::academic_T3_S000,academic,academic_T3,academic_T3_S000,Sustainable Transport Evolution,"The micro-topic traces the evolution of sustainable transport discourse from early policy/decoupling discussions to a heavy focus on technological adoption, particularly electromobility and micromobility, driven by behavioral science and environmental impact assessment.",2435,0.6444792747497559,academic__corporate__T3__academic_0__corporate_0,2
T3,"Sustainable products, services and consumption",corporate_T3::corporate_T3_S000,corporate_T3,corporate_T3_S000,ESG and Stakeholder Pressure on Emissions and Consumption,41,academic_T3::academic_T3_PG05,academic,academic_T3,academic_T3_PG05,Evolution of Sustainable Sourcing and Supplier Relationships in SCM,"The micro-topic traces the evolution of integrating sustainability into supply chain management, moving from broad organizational governance concerns to highly specific, quantitative methods for sustainable supplier selection and relationship management.",2287,0.6741527318954468,academic__corporate__T3__academic_7__corporate_0,3
T3,"Sustainable products, services and consumption",corporate_T3::corporate_T3_S000,corporate_T3,corporate_T3_S000,ESG and Stakeholder Pressure on Emissions and Consumption,41,academic_T3::academic_T3_S001,academic,academic_T3,academic_T3_S001,Evolution of Sustainable Textile and Apparel Discourse,"The micro-topic evolved from early theoretical applications of design theory to a sustained focus on the intersection of sustainable design, consumer behavior, and market mechanisms within the textile and apparel industry, culminating in a strong emphasis on consumer knowledge and systemic challenges.",2166,0.6218531131744385,academic__corporate__T3__academic_1__corporate_0,2
T3,"Sustainable products, services and consumption",corporate_T3::corporate_T3_S002,corporate_T3,corporate_T3_S002,Consumer Market Dynamics and Competitive Pressure,18,academic_T3::academic_T3_PG09,academic,academic_T3,academic_T3_PG09,Evolution of Consumer Drivers for Sustainable Food Purchases,"The micro-topic tracks the evolution of consumer attitudes, willingness, and behavior regarding sustainably and organically produced goods across various contexts, shifting from early focus on perceptions to complex modeling of drivers and marketing influences.",2036,0.7019869089126587,academic__corporate__T3__academic_11__corporate_2,3
T3,"Sustainable products, services and consumption",corporate_T3::corporate_T3_S009,corporate_T3,corporate_T3_S009,Sustainable Manufacturing and Energy Transition,6,academic_T3::academic_T3_PG13,academic,academic_T3,academic_T3_PG13,Transdisciplinary Design for Sustainable Systems,"The micro-topic traces the evolution of applying interdisciplinary and transdisciplinary design methodologies to address complex sustainability challenges across educational and practical contexts, moving from early educational dialogues to advanced iterative design systems.",1436,0.5567117929458618,academic__corporate__T3__academic_17__corporate_6,0
T3,"Sustainable products, services and consumption",corporate_T3::corporate_T3_S000,corporate_T3,corporate_T3_S000,ESG and Stakeholder Pressure on Emissions and Consumption,41,academic_T3::academic_T3_S006,academic,academic_T3,academic_T3_S006,Critique of Sustainability Paradigms: From Development to Systemic Transformation,"The micro-topic traces the evolution of sustainability discourse from early definitions of sustainable development rooted in modernization and economic integration, through intense theoretical critiques of growth paradigms (degrowth, biocentrism), to contemporary engagements with the Anthropocene and calls for systemic, posthuman transformations.",1415,0.6228134632110596,academic__corporate__T3__academic_6__corporate_0,2
T3,"Sustainable products, services and consumption",corporate_T3::corporate_T3_S000,corporate_T3,corporate_T3_S000,ESG and Stakeholder Pressure on Emissions and Consumption,41,academic_T3::academic_T3_PG12,academic,academic_T3,academic_T3_PG12,"Urban Form, Livability, and Sustainable Development Trajectories","The micro-topic tracks the evolution of sustainable urbanism, moving from early critiques of market-driven sprawl and social cohesion issues to a highly integrated focus on megacity livability, smart technologies, and policy implementation across various global contexts.",1308,0.606378972530365,academic__corporate__T3__academic_16__corporate_0,1
T3,"Sustainable products, services and consumption",corporate_T3::corporate_T3_S010,corporate_T3,corporate_T3_S010,Biochar/Biofraction Production via Pyrolysis,6,academic_T3::academic_T3_PG07,academic,academic_T3,academic_T3_PG07,Sustainable Catalysis and Green Chemistry Evolution,"The micro-topic traces the evolution of sustainable chemical processes, moving from broad conceptualizations of green chemistry and CO2 utilization to highly specific applications involving advanced nanocatalysts, electrocatalysis, and green synthesis methods using biological entities.",1236,0.6616756319999695,academic__corporate__T3__academic_9__corporate_7,3
T3,"Sustainable products, services and consumption",corporate_T3::corporate_T3_S009,corporate_T3,corporate_T3_S009,Sustainable Manufacturing and Energy Transition,6,academic_T3::academic_T3_PG17,academic,academic_T3,academic_T3_PG17,Sustainable and Eco-Entrepreneurship Evolution,"The micro-topic evolved from early, highly technical applications in manufacturing and design to a broad, multi-faceted examination of sustainable entrepreneurship across business models, educational frameworks, and global ecosystems.",1150,0.6562838554382324,academic__corporate__T3__academic_33__corporate_6,4
T3,"Sustainable products, services and consumption",corporate_T3::corporate_T3_S000,corporate_T3,corporate_T3_S000,ESG and Stakeholder Pressure on Emissions and Consumption,41,academic_T3::academic_T3_PG06,academic,academic_T3,academic_T3_PG06,Econometric Analysis of Economic Growth and Environmental Sustainability,"The micro-topic evolved from early conceptual critiques of GDP and sustainability indices to a highly specialized focus on applying advanced econometric techniques, particularly cointegration and error correction models, to analyze the long-term relationships between economic variables, energy use, and environmental outcomes across various country groupings.",1045,0.6324492692947388,academic__corporate__T3__academic_8__corporate_0,1
T3,"Sustainable products, services and consumption",corporate_T3::corporate_T3_S000,corporate_T3,corporate_T3_S000,ESG and Stakeholder Pressure on Emissions and Consumption,41,academic_T3::academic_T3_PG15,academic,academic_T3,academic_T3_PG15,HEI Sustainability Assessment and ESD Integration,"The micro-topic tracks the evolution of sustainability concepts within Higher Education Institutions (HEIs), moving from early conceptual debates on unsustainability and institutionalizing change to a highly focused, metric-driven assessment of SDG integration and ESD implementation across various global contexts.",930,0.620896577835083,academic__corporate__T3__academic_21__corporate_0,1
T3,"Sustainable products, services and consumption",corporate_T3::corporate_T3_S000,corporate_T3,corporate_T3_S000,ESG and Stakeholder Pressure on Emissions and Consumption,41,academic_T3::academic_T3_PG20,academic,academic_T3,academic_T3_PG20,Evolution of CSR/ESG in Banking,"The micro-topic tracks the evolution of sustainability concerns within the banking sector, moving from early environmental focus to complex integration of ESG, risk, and green finance mechanisms.",883,0.6770160794258118,academic__corporate__T3__academic_30__corporate_0,2
T3,"Sustainable products, services and consumption",corporate_T3::corporate_T3_S000,corporate_T3,corporate_T3_S000,ESG and Stakeholder Pressure on Emissions and Consumption,41,academic_T3::academic_T3_PG11,academic,academic_T3,academic_T3_PG11,Evolution of Green Building Standards Adoption and Implementation,"The micro-topic tracks the evolution of sustainable building practices, heavily referencing international and regional green building rating systems (LEED, USGBC, IGBC) and their implementation challenges across various global contexts, with a strong later focus on digital tools like BIM.",823,0.62427818775177,academic__corporate__T3__academic_14__corporate_0,2
